"observation","specname","latitude","longitude","carp_color"
"3545",265267,"Agaricales sensu lato",38.57535,-123.313,0
"3590",265307,"Agaricales sensu lato",42.266,-82.98145,0
"3603",266653,"Agaricales sensu lato",39.20395,-121.044,0
"3861",264917,"Agaricales sensu lato",37.8697,-122.282,0
"3941",264362,"Agaricales sensu lato",33.5287,-117.707,0
"3944",264343,"Agaricales sensu lato",39.19495,-121.192,0
"4218",263984,"Agaricales sensu lato",37.769,-122.4835,0
"4259",263893,"Agaricales sensu lato",36.4797,-121.732,0
"4377",266893,"Agaricales sensu lato",37.82545,-122.173,0
"4602",263711,"Agaricales sensu lato",39.8175,-74.5353,0
"4719",263172,"Agaricales sensu lato",42.1666,-82.9478,0
"4720",263171,"Agaricales sensu lato",42.1666,-82.9478,0
"4789",263265,"Agaricales sensu lato",38.3293,-122.718,0
"4802",263081,"Agaricales sensu lato",40.7156,-80.59575,0
"5153",262326,"Agaricales sensu lato",38.45385,-121.423,0
"5242",262507,"Agaricales sensu lato",37.8997,-122.248,0
"5326",261965,"Agaricales sensu lato",42.70285,-80.3454,0
"5600",261656,"Agaricales sensu lato",42.0011,-124.212,0
"5606",261547,"Agaricales sensu lato",47.88005,-114.031,0
"5755",261778,"Agaricales sensu lato",41.19255,-76.0182,0
"6382",262269,"Agaricales sensu lato",42.8341,-80.1493,0
"6705",260445,"Agaricales sensu lato",36.5965,-121.869,0
"6774",259896,"Agaricales sensu lato",42.70455,-80.33445,0
"6779",264360,"Agaricales sensu lato",41.4408,-76.2721,0
"6972",259654,"Agaricales sensu lato",41.24435,-76.13215,0
"7330",260168,"Agaricales sensu lato",41.08175,-75.89205,0
"7516",259170,"Agaricales sensu lato",41.07625,-73.45285,0
"7541",261233,"Agaricales sensu lato",44.6663,-88.08285,0
"7982",258853,"Agaricales sensu lato",46.98685,-119.148,0
"8030",263110,"Agaricales sensu lato",43.12035,-79.965,0
"8242",258515,"Agaricales sensu lato",42.8341,-80.1493,0
"8382",258303,"Agaricales sensu lato",42.20945,-82.8877,0
"8954",258080,"Agaricales sensu lato",42.20945,-82.8877,0
"8966",257905,"Agaricales sensu lato",42.20945,-82.8877,0
"9252",257519,"Agaricales sensu lato",42.2618,-83.07095,0
"9261",257502,"Agaricales sensu lato",36.6598,-81.54455,0
"9528",263582,"Agaricales sensu lato",41.72885,-86.81635,0
"9541",261353,"Agaricales sensu lato",44.6663,-88.08285,0
"9550",261337,"Agaricales sensu lato",44.6663,-88.08285,0
"9661",257246,"Agaricales sensu lato",42.20945,-82.8877,0
"9681",257158,"Agaricales sensu lato",42.20945,-82.8877,0
"9804",262291,"Agaricales sensu lato",41.29635,-81.09425,0
"9982",257491,"Agaricales sensu lato",42.266,-82.98145,0
"9983",257490,"Agaricales sensu lato",42.266,-82.98145,0
"10040",256724,"Agaricales sensu lato",47.7389,-122.2955,0
"10121",256816,"Agaricales sensu lato",41.6104,-71.84035,0
"10122",256815,"Agaricales sensu lato",42.26765,-83.0888,0
"10125",256812,"Agaricales sensu lato",42.26765,-83.0888,0
"10235",256599,"Agaricales sensu lato",42.26765,-83.0888,0
"10236",256594,"Agaricales sensu lato",42.26765,-83.0888,0
"10248",256541,"Agaricales sensu lato",42.26765,-83.0888,0
"10305",256435,"Agaricales sensu lato",42.26765,-83.0888,0
"10324",256414,"Agaricales sensu lato",42.26765,-83.0888,0
"10511",256735,"Agaricales sensu lato",43.6392,-88.17475,0
"10607",256121,"Agaricales sensu lato",42.78625,-80.198,0
"11093",255665,"Agaricales sensu lato",42.2618,-83.07095,0
"11285",255438,"Agaricales sensu lato",42.25685,-83.0494,0
"11354",255428,"Agaricales sensu lato",42.266,-82.98145,0
"11523",255328,"Agaricales sensu lato",45.7998,-77.13975,0
"11646",265098,"Agaricales sensu lato",43.10645,-80.2855,0
"11666",264996,"Agaricales sensu lato",43.10645,-80.2855,0
"11702",255286,"Agaricales sensu lato",41.3264,-75.90695,0
"11709",255031,"Agaricales sensu lato",42.25685,-83.0494,0
"11926",255005,"Agaricales sensu lato",44.3258,-87.5455,0
"11927",255004,"Agaricales sensu lato",44.3258,-87.5455,0
"11996",254790,"Agaricales sensu lato",44.3258,-87.5455,0
"12068",254702,"Agaricales sensu lato",44.14195,-87.6029,0
"12071",254699,"Agaricales sensu lato",44.14195,-87.6029,0
"12072",254698,"Agaricales sensu lato",44.14195,-87.6029,0
"12225",254705,"Agaricales sensu lato",44.14195,-87.6029,0
"12232",254672,"Agaricales sensu lato",44.14195,-87.6029,0
"12395",255187,"Agaricales sensu lato",41.6104,-71.84035,0
"12715",263562,"Agaricales sensu lato",41.69065,-86.97125,0
"12736",254440,"Agaricales sensu lato",45.7998,-77.13975,0
"13211",254177,"Agaricales sensu lato",42.2618,-83.07095,0
"13431",253442,"Agaricales sensu lato",44.00455,-88.1564,0
"13571",253310,"Agaricales sensu lato",38.07845,-122.856,0
"13575",253295,"Agaricales sensu lato",42.25685,-83.0494,0
"13875",253435,"Agaricales sensu lato",44.00455,-88.1564,0
"14289",252681,"Agaricales sensu lato",41.99445,-87.76795,0
"14308",265525,"Agaricales sensu lato",42.77485,-80.9823,0
"14542",253395,"Agaricales sensu lato",35.8121,-105.76,0
"14627",265779,"Agaricales sensu lato",43.10645,-80.2855,0
"15315",251856,"Agaricales sensu lato",43.6864,-114.3815,0
"15433",251868,"Agaricales sensu lato",43.6864,-114.3815,0
"15435",251866,"Agaricales sensu lato",43.6864,-114.3815,0
"15438",251862,"Agaricales sensu lato",43.6864,-114.3815,0
"16189",261117,"Agaricales sensu lato",48.13015,-122.595,0
"16306",263024,"Agaricales sensu lato",41.1302,-87.4413,0
"16981",250098,"Agaricales sensu lato",38.8338,-120.042,0
"16987",249975,"Agaricales sensu lato",37.7927,-79.4355,0
"17099",263015,"Agaricales sensu lato",41.61785,-87.2601,0
"17371",249576,"Agaricales sensu lato",43.99955,-91.42675,0
"17505",249405,"Agaricales sensu lato",40.67455,-80.5413,0
"17707",253136,"Agaricales sensu lato",32.18765,-81.8461,0
"17736",250310,"Agaricales sensu lato",41.2388,-76.1,0
"17821",249014,"Agaricales sensu lato",30.59805,-96.32045,0
"18169",249383,"Agaricales sensu lato",37.3469,-108.2935,0
"18505",248286,"Agaricales sensu lato",42.6812,-80.32955,0
"18856",247836,"Agaricales sensu lato",33.98445,-84.2499,0
"19237",249226,"Agaricales sensu lato",41.84485,-74.625,0
"19439",247358,"Agaricales sensu lato",35.24155,-112.1925,0
"19469",246811,"Agaricales sensu lato",35.8725,-78.761,0
"19941",246422,"Agaricales sensu lato",39.9799,-82.41415,0
"19951",246338,"Agaricales sensu lato",37.28185,-80.465,0
"22304",245194,"Agaricales sensu lato",37.05705,-80.62745,0
"22536",243758,"Agaricales sensu lato",41.19745,-73.43545,0
"22574",243716,"Agaricales sensu lato",41.0871,-73.5871,0
"22575",243715,"Agaricales sensu lato",41.0871,-73.5871,0
"22647",267597,"Agaricales sensu lato",37.85445,-122.197,0
"22871",248370,"Agaricales sensu lato",44.143,-74.77065,0
"22898",243602,"Agaricales sensu lato",37.93935,-122.739,0
"22973",248188,"Agaricales sensu lato",44.1413,-74.78185,0
"22986",248175,"Agaricales sensu lato",44.1413,-74.78185,0
"23236",243038,"Agaricales sensu lato",35.8725,-78.761,0
"23680",242606,"Agaricales sensu lato",39.49485,-76.28565,0
"23815",247941,"Agaricales sensu lato",48.2959,-113.7235,0
"24627",243034,"Agaricales sensu lato",30.69075,-94.94845,0
"24682",241235,"Agaricales sensu lato",42.82125,-80.14945,0
"24722",255329,"Agaricales sensu lato",40.84915,-110.816,0
"25421",240409,"Agaricales sensu lato",28.78255,-82.6039,0
"25680",240225,"Agaricales sensu lato",42.82125,-80.14945,0
"25889",241452,"Agaricales sensu lato",40.557,-111.761,0
"25987",239966,"Agaricales sensu lato",48.5187,-116.4145,0
"26064",239982,"Agaricales sensu lato",38.53895,-94.4327,0
"26404",239621,"Agaricales sensu lato",39.06145,-94.5995,0
"26587",269506,"Agaricales sensu lato",32.84545,-97.48045,0
"26705",244283,"Agaricales sensu lato",38.93165,-94.62215,0
"26708",244213,"Agaricales sensu lato",38.93165,-94.62215,0
"26890",238995,"Agaricales sensu lato",35.8725,-78.761,0
"26924",239818,"Agaricales sensu lato",42.73765,-123.4265,0
"27116",238759,"Agaricales sensu lato",41.2721,-76.27835,0
"27188",238736,"Agaricales sensu lato",37.81235,-122.1885,0
"27560",238269,"Agaricales sensu lato",37.26675,-122.127,0
"27742",237892,"Agaricales sensu lato",35.8725,-78.761,0
"27995",237665,"Agaricales sensu lato",37.7381,-119.5795,0
"28003",237623,"Agaricales sensu lato",48.20645,-122.6215,0
"28299",237398,"Agaricales sensu lato",45.645,-122.764,0
"28313",237288,"Agaricales sensu lato",37.01015,-122.066,0
"28468",237057,"Agaricales sensu lato",42.266,-82.98145,0
"28608",236913,"Agaricales sensu lato",30.81555,-85.23275,0
"29219",236061,"Agaricales sensu lato",27.75025,-82.7085,0
"30766",234009,"Agaricales sensu lato",33.2031,-87.55545,0
"30934",233759,"Agaricales sensu lato",31.623,-94.6569,0
"31476",231509,"Agaricales sensu lato",34.18455,-118.771,0
"31701",231061,"Agaricales sensu lato",45.7573,-122.879,0
"31703",231059,"Agaricales sensu lato",45.7573,-122.879,0
"32127",230429,"Agaricales sensu lato",38.4416,-122.508,0
"32272",230412,"Agaricales sensu lato",37.14845,-122.1275,0
"32554",266936,"Agaricales sensu lato",37.72315,-122.0545,0
"32609",230180,"Agaricales sensu lato",36.80065,-121.678,0
"32745",229853,"Agaricales sensu lato",37.29135,-122.1225,0
"33345",228599,"Agaricales sensu lato",37.71795,-121.9025,0
"33655",230825,"Agaricales sensu lato",45.4925,-122.8355,0
"33722",228353,"Agaricales sensu lato",37.81235,-122.1885,0
"34139",228043,"Agaricales sensu lato",37.72575,-122.451,0
"34140",228042,"Agaricales sensu lato",37.72575,-122.451,0
"34177",231038,"Agaricales sensu lato",38.57535,-123.313,0
"34180",231035,"Agaricales sensu lato",35.021,-85.58025,0
"34278",228604,"Agaricales sensu lato",35.07685,-85.2685,0
"34332",228248,"Agaricales sensu lato",47.8518,-122.588,0
"34460",228117,"Agaricales sensu lato",37.33015,-122.18,0
"34560",228004,"Agaricales sensu lato",34.99795,-85.1826,0
"34693",227739,"Agaricales sensu lato",34.99795,-85.1826,0
"34791",227355,"Agaricales sensu lato",35.1239,-85.21985,0
"35004",227368,"Agaricales sensu lato",34.91935,-85.2571,0
"35213",226888,"Agaricales sensu lato",35.12015,-85.3666,0
"35299",226797,"Agaricales sensu lato",35.1048,-85.33425,0
"35369",227305,"Agaricales sensu lato",43.9918,-122.892,0
"35410",240885,"Agaricales sensu lato",27.82825,-82.37965,0
"35628",226349,"Agaricales sensu lato",37.769,-122.4835,0
"35639",240740,"Agaricales sensu lato",27.79565,-82.31385,0
"35912",226143,"Agaricales sensu lato",37.769,-122.4835,0
"36089",240158,"Agaricales sensu lato",27.71405,-82.3181,0
"36229",225714,"Agaricales sensu lato",48.0779,-122.482,0
"36382",225998,"Agaricales sensu lato",41.26365,-75.93575,0
"36389",225823,"Agaricales sensu lato",41.26365,-75.93575,0
"36629",225319,"Agaricales sensu lato",37.3135,-122.064,0
"36688",227648,"Agaricales sensu lato",39.37265,-120.9495,0
"36921",240151,"Agaricales sensu lato",27.7009,-82.4329,0
"36972",224921,"Agaricales sensu lato",33.009,-117.266,0
"36993",226157,"Agaricales sensu lato",37.01015,-122.066,0
"37093",224809,"Agaricales sensu lato",33.009,-117.266,0
"37271",224429,"Agaricales sensu lato",42.78625,-80.198,0
"37290",224806,"Agaricales sensu lato",39.2984,-123.755,0
"37463",224241,"Agaricales sensu lato",37.75725,-122.119,0
"37659",223898,"Agaricales sensu lato",43.2468,-77.48665,0
"37924",223720,"Agaricales sensu lato",41.44685,-76.46525,0
"38024",223524,"Agaricales sensu lato",32.83675,-95.2067,0
"38074",223504,"Agaricales sensu lato",41.74045,-84.8425,0
"38186",223399,"Agaricales sensu lato",48.11935,-122.793,0
"38189",223391,"Agaricales sensu lato",45.5198,-122.545,0
"38192",223388,"Agaricales sensu lato",45.5198,-122.545,0
"38196",223384,"Agaricales sensu lato",45.5198,-122.545,0
"38222",223283,"Agaricales sensu lato",42.78625,-80.198,0
"38360",223693,"Agaricales sensu lato",41.0145,-75.601,0
"38371",223520,"Agaricales sensu lato",43.68555,-70.44855,0
"38840",222615,"Agaricales sensu lato",37.1162,-122.065,0
"39469",221941,"Agaricales sensu lato",35.8725,-78.761,0
"39504",223080,"Agaricales sensu lato",43.0844,-89.42385,0
"39960",221783,"Agaricales sensu lato",41.08175,-75.89205,0
"40050",221413,"Agaricales sensu lato",40.61955,-80.11575,0
"40303",221355,"Agaricales sensu lato",33.991,-83.4954,0
"40482",221192,"Agaricales sensu lato",41.8716,-124.1495,0
"41030",221457,"Agaricales sensu lato",45.77035,-123.9555,0
"41449",220128,"Agaricales sensu lato",39.36675,-75.67745,0
"41698",220164,"Agaricales sensu lato",39.7944,-74.277,0
"41851",220242,"Agaricales sensu lato",41.13155,-76.627,0
"41920",219582,"Agaricales sensu lato",45.28415,-111.4015,0
"41971",229170,"Agaricales sensu lato",43.04975,-73.86115,0
"42360",218783,"Agaricales sensu lato",42.6812,-80.32955,0
"42417",220409,"Agaricales sensu lato",43.24685,-88.29165,0
"42427",219652,"Agaricales sensu lato",43.182,-89.81405,0
"42530",218666,"Agaricales sensu lato",42.6643,-80.5223,0
"42592",219703,"Agaricales sensu lato",47.41325,-121.3645,0
"43269",218068,"Agaricales sensu lato",41.99275,-87.76395,0
"43431",240019,"Agaricales sensu lato",27.6054,-82.2924,0
"43432",240018,"Agaricales sensu lato",27.71405,-82.3181,0
"43530",217762,"Agaricales sensu lato",42.78625,-80.198,0
"43537",240013,"Agaricales sensu lato",27.99425,-82.21975,0
"43546",230003,"Agaricales sensu lato",42.78625,-80.198,0
"43763",217582,"Agaricales sensu lato",33.93305,-78.03275,0
"44009",217355,"Agaricales sensu lato",33.991,-83.4954,0
"44140",239962,"Agaricales sensu lato",27.6054,-82.2924,0
"44146",239949,"Agaricales sensu lato",27.6054,-82.2924,0
"44684",217298,"Agaricales sensu lato",46.128,-121.758,0
"44704",217185,"Agaricales sensu lato",43.5642,-89.8179,0
"45014",216890,"Agaricales sensu lato",35.09115,-84.02365,0
"45029",222317,"Agaricales sensu lato",39.82265,-84.91805,0
"45153",239888,"Agaricales sensu lato",27.52785,-82.57605,0
"45351",217409,"Agaricales sensu lato",41.08445,-75.59165,0
"45422",239837,"Agaricales sensu lato",27.4207,-82.4184,0
"45424",239835,"Agaricales sensu lato",27.4207,-82.4184,0
"45663",216304,"Agaricales sensu lato",49.2562,-122.826,0
"45754",216788,"Agaricales sensu lato",39.82265,-84.91805,0
"46059",216755,"Agaricales sensu lato",26.47105,-81.76265,0
"46575",215602,"Agaricales sensu lato",39.78965,-84.9714,0
"47316",214874,"Agaricales sensu lato",42.0569,-78.77495,0
"47424",215405,"Agaricales sensu lato",39.93785,-87.0894,0
"47446",215376,"Agaricales sensu lato",39.93785,-87.0894,0
"48115",216966,"Agaricales sensu lato",34.61035,-92.48385,0
"48680",213506,"Agaricales sensu lato",38.98985,-94.32635,0
"48773",213381,"Agaricales sensu lato",42.78625,-80.198,0
"48906",213461,"Agaricales sensu lato",28.35815,-82.69065,0
"48982",233466,"Agaricales sensu lato",44.19775,-73.60815,0
"49015",213171,"Agaricales sensu lato",42.78625,-80.198,0
"49240",212936,"Agaricales sensu lato",47.7453,-122.3075,0
"49277",213526,"Agaricales sensu lato",46.1743,-91.14985,0
"49291",213404,"Agaricales sensu lato",46.1743,-91.14985,0
"49992",212096,"Agaricales sensu lato",39.06145,-94.5995,0
"50737",212278,"Agaricales sensu lato",42.35145,-88.18845,0
"50877",211549,"Agaricales sensu lato",40.04345,-77.2615,0
"50878",211548,"Agaricales sensu lato",40.04345,-77.2615,0
"50880",211545,"Agaricales sensu lato",40.04345,-77.2615,0
"50967",211551,"Agaricales sensu lato",39.8386,-77.53415,0
"51568",210698,"Agaricales sensu lato",39.06145,-94.5995,0
"51859",222535,"Agaricales sensu lato",41.74045,-84.8425,0
"52117",210340,"Agaricales sensu lato",45.7998,-77.13975,0
"52336",210250,"Agaricales sensu lato",40.0699,-80.74625,0
"52684",212765,"Agaricales sensu lato",35.7546,-84.76375,0
"52687",212762,"Agaricales sensu lato",35.7546,-84.76375,0
"52693",212756,"Agaricales sensu lato",35.7546,-84.76375,0
"52719",212728,"Agaricales sensu lato",35.7546,-84.76375,0
"52724",212722,"Agaricales sensu lato",35.7546,-84.76375,0
"52726",212720,"Agaricales sensu lato",35.7546,-84.76375,0
"52962",209628,"Agaricales sensu lato",32.9037,-94.71495,0
"53028",220653,"Agaricales sensu lato",44.14805,-71.3853,0
"53075",209616,"Agaricales sensu lato",44.14805,-71.3853,0
"53168",209441,"Agaricales sensu lato",41.99445,-87.76795,0
"53312",212268,"Agaricales sensu lato",35.81725,-105.793,0
"54180",208588,"Agaricales sensu lato",39.062,-76.7811,0
"54283",224691,"Agaricales sensu lato",46.24005,-85.9516,0
"54286",224688,"Agaricales sensu lato",46.24005,-85.9516,0
"54481",208296,"Agaricales sensu lato",42.6812,-80.32955,0
"55549",207328,"Agaricales sensu lato",38.5658,-90.6591,0
"55634",207124,"Agaricales sensu lato",43.16605,-79.2106,0
"55657",208695,"Agaricales sensu lato",44.31035,-70.82345,0
"55742",207061,"Agaricales sensu lato",42.82125,-80.14945,0
"55923",206933,"Agaricales sensu lato",42.8341,-80.1493,0
"56015",206868,"Agaricales sensu lato",44.28215,-87.6598,0
"56041",206830,"Agaricales sensu lato",42.82125,-80.14945,0
"56148",206691,"Agaricales sensu lato",42.78625,-80.198,0
"56189",206682,"Agaricales sensu lato",41.9846,-87.72615,0
"56322",206822,"Agaricales sensu lato",41.43815,-75.2766,0
"56414",206419,"Agaricales sensu lato",43.16335,-79.2194,0
"56607",206323,"Agaricales sensu lato",41.34015,-75.8912,0
"57109",240146,"Agaricales sensu lato",27.19105,-82.48005,0
"57190",205628,"Agaricales sensu lato",33.991,-83.4954,0
"57309",205473,"Agaricales sensu lato",33.991,-83.4954,0
"57621",205220,"Agaricales sensu lato",33.991,-83.4954,0
"59314",203471,"Agaricales sensu lato",32.81715,-97.1535,0
"60598",202465,"Agaricales sensu lato",46.4936,-122.935,0
"62132",199617,"Agaricales sensu lato",37.39285,-122.318,0
"62311",198164,"Agaricales sensu lato",33.58065,-117.7785,0
"63632",196672,"Agaricales sensu lato",42.2199,-123.3315,0
"63978",195948,"Agaricales sensu lato",37.58585,-122.019,0
"65685",194812,"Agaricales sensu lato",33.009,-117.266,0
"65690",194792,"Agaricales sensu lato",33.009,-117.266,0
"65845",196975,"Agaricales sensu lato",37.9033,-122.255,0
"1548",268211,"Agaricomycetes Doweld",37.51575,-122.072,0
"1742",267413,"Agaricomycetes Doweld",34.19165,-118.8855,0
"1943",267085,"Agaricomycetes Doweld",32.9162,-116.8955,0
"1951",267077,"Agaricomycetes Doweld",32.9162,-116.8955,0
"3174",266886,"Agaricomycetes Doweld",38.4245,-120.642,0
"6706",260440,"Agaricomycetes Doweld",36.5965,-121.869,0
"8555",258562,"Agaricomycetes Doweld",42.20945,-82.8877,0
"9551",261336,"Agaricomycetes Doweld",44.6663,-88.08285,0
"10041",256723,"Agaricomycetes Doweld",47.7389,-122.2955,0
"11141",255567,"Agaricomycetes Doweld",40.67455,-80.5413,0
"11142",255566,"Agaricomycetes Doweld",42.2618,-83.07095,0
"11939",254935,"Agaricomycetes Doweld",44.3258,-87.5455,0
"12326",254553,"Agaricomycetes Doweld",42.25685,-83.0494,0
"13039",253645,"Agaricomycetes Doweld",41.60895,-81.29995,0
"13415",253487,"Agaricomycetes Doweld",45.7998,-77.13975,0
"14366",252650,"Agaricomycetes Doweld",43.1194,-89.646,0
"17706",254226,"Agaricomycetes Doweld",42.25685,-83.0494,0
"19271",247659,"Agaricomycetes Doweld",33.991,-83.4954,0
"22653",248389,"Agaricomycetes Doweld",44.14575,-74.76685,0
"28365",237238,"Agaricomycetes Doweld",44.4716,-88.0086,0
"29010",237994,"Agaricomycetes Doweld",35.1459,-89.9896,0
"29316",236334,"Agaricomycetes Doweld",35.1367,-89.83885,0
"29445",237242,"Agaricomycetes Doweld",44.4716,-88.0086,0
"30837",234245,"Agaricomycetes Doweld",30.5279,-86.5018,0
"31041",233665,"Agaricomycetes Doweld",33.2031,-87.55545,0
"31042",233664,"Agaricomycetes Doweld",33.2031,-87.55545,0
"31133",236345,"Agaricomycetes Doweld",35.1459,-89.9896,0
